Chapter,Page(s),Type,Name,Description (EN),How-to/Instructions (EN),Description (RU),How-to/Instructions (RU)
0,10,Framework,"Yes, And",A fundamental improv principle for building base reality by accepting what your partner says and adding new information to develop the scene together.,Accept what your partner establishes in the scene and add new information. Use this principle to quickly build a base reality together with agreement and commitment.,"Фундаментальный принцип импровизации для построения базовой реальности, основанный на принятии того, что говорит ваш партнер, и добавлении новой информации для совместного развития сцены.","Принимайте то, что устанавливает ваш партнер в сцене, и добавляйте новую информацию. Используйте этот принцип для быстрого построения базовой реальности вместе с согласием и обязательством."
0,9,Framework,Base Reality,"The initial realistic world of a scene that establishes the who-what-where, general situation, and context before the game is discovered.","Establish the scenario at the beginning of a scene (e.g., a parent and child driving to school, a patient visiting the doctor, a cowboy walking into a saloon). Play it realistically relative to its situation, even if fantastical, without playing for laughs. This provides the foundation for identifying the first unusual thing and discovering the game.","Первоначальный реалистичный мир сцены, который устанавливает кто-что-где, общую ситуацию и контекст до того, как будет обнаружена игра сцены.","Установите сценарий в начале сцены (например, родитель и ребенок едят в школу, пациент посещает врача, ковбой входит в салун). Играйте это реалистично относительно его ситуации, даже если она фантастическая, без игры на смех. Это обеспечивает основу для определения первого необычного элемента и открытия игры сцены."
0,7,Framework,Game of the Scene,"The single specific idea that makes a scene funny - the unusual point of view, surprising behavior, or absurd character that is discovered and explored throughout the scene.","Identify the comedic premise of the scene by finding what makes it funny and unique. Once you know the game, you know what to explore and heighten to further what's making the scene funny. The game is discovered after the base reality is established.","Единственная специфическая идея, которая делает сцену смешной - необычная точка зрения, удивительное поведение или абсурдный персонаж, который обнаруживается и исследуется на протяжении всей сцены.","Определите комедийную предпосылку сцены, найдя то, что делает ее смешной и уникальной. Когда вы узнаете игру сцены, вы узнаете, что исследовать и усиливать, чтобы развить то, что делает сцену смешной. Игра сцены открывается после установления базовой реальности."
0,9,Framework,First Unusual Thing,The breaking point where a scene transitions from base reality into the game by introducing something that breaks the expected pattern.,Watch for the moment when something breaks the expected pattern of the base reality. This unusual occurrence marks the entrance into the game section of the scene.,"Точка перелома, где сцена переходит от базовой реальности в игру посредством введения чего-то, что нарушает ожидаемый паттерн.","Следите за моментом, когда что-то нарушает ожидаемый паттерн базовой реальности. Это необычное событие отмечает вход в игровую часть сцены."
0,9,Framework,If Then,"An improv principle used to find and develop the game by continually asking 'If this unusual thing is true, then what else is true?'","When you identify the first unusual thing in a scene, use the 'If Then' principle to explore its implications. Ask yourself 'If this unusual thing is true, then what else is true?' The answers to this question provide the comedic content of the game.","Принцип импровизации, используемый для поиска и развития игры сцены путем постоянного задания вопроса 'Если это необычное событие правда, то что еще правда?'","Когда вы определили первое необычное событие в сцене, используйте принцип 'Если То' для исследования его следствий. Спросите себя 'Если это необычное событие правда, то что еще правда?' Ответы на этот вопрос дают комедийное содержание игры сцены."
1,15,Framework,"Yes, And","The fundamental principle of accepting and building on offers in improv. It means agreeing with information your scene partner gives you about reality and adding new, related information.","Always accept what your partner says (Yes) and add new information that relates to what has been established (And). Start responses with agreement and build on previous offers. In performance, you don't literally say 'Yes, And' - instead, you accept the offer and add new related information naturally.","Фундаментальный принцип импровизации, заключающийся в принятии и развитии предложений сцены. Означает согласие с информацией, которую твой партнёр по сцене даёт о реальности, и добавление новой, связанной с этим информации.","Всегда принимай то, что говорит твой партнёр (Да), и добавляй новую информацию, которая связана с уже установленным (И). Начинай ответы с согласия и развивай предыдущие предложения. В процессе игры ты не говоришь буквально 'Да, и' - вместо этого ты принимаешь предложение и естественным образом добавляешь новую связанную информацию."
1,15,Framework,Base Reality,"The established normal, realistic context of a scene before the first unusual thing (game) happens. It includes the Who, What, Where, and the physical/emotional state of characters.","Establish a clear, specific, and realistic foundation for your scene through agreement with your scene partner. This allows the audience to recognize what is unusual when it appears, which marks the beginning of the comedy.","Установленная нормальная, реалистичная обстановка сцены до того, как произойдёт первое необычное событие (игра). Включает в себя Кто, Что, Где и физическое/эмоциональное состояние персонажей.","Установи ясный, конкретный и реалистичный фундамент для твоей сцены через согласие с партнёром по сцене. Это позволяет зрителям заметить необычное, когда оно появится, что отмечает начало комедии."
1,16,Framework,Initiation,"The first line of an improv scene, usually inspired by a suggestion provided by someone other than the performers.","When you get a suggestion, notice the connection you immediately make to it, then use that connection to fashion an initiation. Start the scene 'in the middle of things' to get to the important part of interaction quickly. Avoid extraneous dialogue. Initiate off your suggestion immediately without hesitation, as hesitation shows planning rather than improvising.","Первая реплика импровизационной сцены, обычно вдохновлённая предложением, сделанным кем-то другим, чем исполнители.","Когда ты получишь предложение, заметь связь, которая сразу же приходит в голову, а затем используй эту связь для создания инициации. Начинай сцену 'в середине событий', чтобы быстро перейти к важной части взаимодействия. Избегай лишних диалогов. Инициируй сцену от предложения немедленно без колебаний, так как колебания демонстрируют планирование, а не импровизацию."
1,16,Framework,Suggestion,"A word, phrase, or concept provided by the audience (or someone other than the performers) that serves as inspiration for the improvisers.",The suggestion serves two purposes: it inspires the improvisers and proves they are indeed improvising rather than performing a script. Use the suggestion to make a personal connection and fashion an initiation from that connection.,"Слово, фраза или концепция, предоставленная аудиторией или кем-то другим, чем исполнители, служащая источником вдохновения для импровизаторов.","Предложение служит двум целям: оно вдохновляет импровизаторов и доказывает, что они действительно импровизируют, а не исполняют написанный сценарий. Используй предложение для личной связи и создания инициации из этой связи."
1,21,Framework,Agreement (Physical/Emotional State),The process of two improvisers coming to basic agreement about the physical and/or emotional state of their characters before they begin talking.,"As soon as two improvisers walk on stage, acknowledge any choice about the character of the space your scene partner has made. Find a way to fit into that same physical space by mirroring or complementing their physical choice. This establishes that your characters exist in the same environmental condition.","Процесс, при котором два импровизатора приходят к общему согласию о физическом и/или эмоциональном состоянии своих персонажей перед тем, как они начнут говорить.","Как только два импровизатора выходят на сцену, отметь любой выбор, сделанный твоим партнёром относительно характера пространства сцены. Найди способ встроиться в это же физическое пространство, отразив или дополнив физический выбор партнёра. Это устанавливает, что ваши персонажи существуют в одних и тех же условиях окружения."
